epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.334,1.78638,2.37734,1.72627,0.38421,0.35199,0.34095,0.15436,1.93941,1.84398,1.60372,0.00333078,0.00333078,0.00333078
2,463.068,1.534,1.33088,1.46473,0.39142,0.346,0.35125,0.158,1.99109,1.66262,1.65501,0.00660413,0.00660413,0.00660413
3,695.915,1.55347,1.34278,1.4756,0.27651,0.34364,0.29763,0.12499,2.07987,2.15431,1.63234,0.00981749,0.00981749,0.00981749
4,926.793,1.58722,1.38978,1.51831,0.37747,0.29803,0.30265,0.13504,2.05866,2.12407,1.69884,0.00973,0.00973,0.00973
5,1159.02,1.5738,1.34065,1.50096,0.38055,0.32802,0.34246,0.15415,2.02115,1.88769,1.61377,0.00964,0.00964,0.00964
6,1390.45,1.51535,1.24147,1.46383,0.60359,0.26446,0.31204,0.13218,2.08315,1.92852,1.67124,0.00955,0.00955,0.00955
7,1623.08,1.50547,1.21232,1.46082,0.37755,0.34928,0.33903,0.15243,1.97206,1.84629,1.64629,0.00946,0.00946,0.00946
8,1855.75,1.46703,1.15466,1.42915,0.39326,0.32777,0.34171,0.14624,1.99533,1.86778,1.6144,0.00937,0.00937,0.00937
9,2085.85,1.45269,1.12389,1.42383,0.39725,0.36505,0.36764,0.17156,1.88471,1.70572,1.5522,0.00928,0.00928,0.00928
10,2317.72,1.4217,1.09155,1.40741,0.41764,0.3743,0.38181,0.17427,1.95323,1.64353,1.57453,0.00919,0.00919,0.00919
11,2548.19,1.40974,1.0655,1.39125,0.42268,0.37865,0.38975,0.18892,1.83513,1.59429,1.53858,0.0091,0.0091,0.0091
12,2776.83,1.41283,1.06588,1.39709,0.38462,0.38036,0.37524,0.17588,1.90092,1.58245,1.55384,0.00901,0.00901,0.00901
13,3007.12,1.37539,1.01562,1.35746,0.56078,0.32813,0.37838,0.18143,1.80565,1.62808,1.5022,0.00892,0.00892,0.00892
14,3238.05,1.36394,0.99218,1.36011,0.4325,0.37983,0.3925,0.18235,1.91912,1.55979,1.53558,0.00883,0.00883,0.00883
15,3469.56,1.34778,0.97503,1.34765,0.40719,0.33331,0.36058,0.16346,1.93176,1.71823,1.55541,0.00874,0.00874,0.00874
16,3700.67,1.35642,0.97287,1.35373,0.38749,0.35622,0.37472,0.1813,1.82435,1.56687,1.52041,0.00865,0.00865,0.00865
17,3933.11,1.35045,0.9701,1.34546,0.44058,0.35007,0.35822,0.17228,1.86469,1.64349,1.50066,0.00856,0.00856,0.00856
18,4162,1.33713,0.94653,1.3392,0.43546,0.40807,0.40983,0.20139,1.79373,1.47953,1.48993,0.00847,0.00847,0.00847
19,4394.27,1.32044,0.92999,1.33741,0.45805,0.34003,0.36957,0.17481,1.83628,1.62408,1.52497,0.00838,0.00838,0.00838
20,4625.88,1.32049,0.92391,1.32061,0.414,0.34997,0.3693,0.18295,1.79156,1.58545,1.48525,0.00829,0.00829,0.00829
21,4865.72,1.30799,0.92301,1.32388,0.42115,0.3873,0.39817,0.19029,1.82694,1.52248,1.49575,0.0082,0.0082,0.0082
22,5099.94,1.31647,0.91353,1.32469,0.50032,0.39204,0.41326,0.1995,1.8218,1.48761,1.49424,0.00811,0.00811,0.00811
23,5327.93,1.29397,0.88949,1.31197,0.44979,0.38148,0.39523,0.19792,1.7685,1.51994,1.47929,0.00802,0.00802,0.00802
24,5561.07,1.28798,0.88632,1.31017,0.46596,0.37103,0.39269,0.18432,1.89277,1.56167,1.48917,0.00793,0.00793,0.00793
25,5796.84,1.28097,0.87384,1.30485,0.41302,0.37896,0.3976,0.19657,1.80402,1.50372,1.47051,0.00784,0.00784,0.00784
26,6033.48,1.28247,0.87477,1.3024,0.46249,0.39287,0.42183,0.21227,1.79314,1.44916,1.476,0.00775,0.00775,0.00775
27,6271.62,1.26777,0.85663,1.28796,0.44854,0.36504,0.38333,0.19354,1.7934,1.52693,1.48118,0.00766,0.00766,0.00766
28,6504.35,1.26028,0.84595,1.27788,0.43078,0.4013,0.40785,0.20951,1.79343,1.43035,1.47452,0.00757,0.00757,0.00757
29,6734.87,1.26594,0.84646,1.29349,0.46932,0.3911,0.40981,0.20138,1.82735,1.39354,1.47911,0.00748,0.00748,0.00748
30,6965.34,1.24897,0.82665,1.27186,0.41989,0.40081,0.40716,0.20742,1.72468,1.41462,1.42084,0.00739,0.00739,0.00739
31,7194.76,1.23629,0.82697,1.27263,0.47875,0.41601,0.42288,0.21664,1.721,1.40812,1.42612,0.0073,0.0073,0.0073
32,7426.79,1.24955,0.81951,1.27363,0.47704,0.38256,0.40317,0.20746,1.72915,1.4598,1.45897,0.00721,0.00721,0.00721
33,7663.4,1.23343,0.81756,1.27251,0.49243,0.41295,0.42799,0.21825,1.73549,1.41872,1.45053,0.00712,0.00712,0.00712
34,7894.98,1.23592,0.81087,1.26584,0.48854,0.41326,0.4255,0.22336,1.68222,1.40413,1.43116,0.00703,0.00703,0.00703
35,8132.79,1.23123,0.80316,1.26647,0.44859,0.3914,0.40572,0.20719,1.74257,1.42557,1.42412,0.00694,0.00694,0.00694
36,8365.6,1.22747,0.80821,1.25761,0.43316,0.40717,0.42904,0.22601,1.69079,1.39926,1.41683,0.00685,0.00685,0.00685
37,8599.13,1.22746,0.80374,1.26668,0.52322,0.38285,0.42922,0.22505,1.70115,1.42712,1.42363,0.00676,0.00676,0.00676
38,8833.98,1.21117,0.79395,1.25265,0.49129,0.42087,0.432,0.22245,1.70854,1.36899,1.40948,0.00667,0.00667,0.00667
39,9068.01,1.20423,0.78419,1.25376,0.5084,0.41477,0.44637,0.23042,1.73382,1.31595,1.43519,0.00658,0.00658,0.00658
40,9304.56,1.21219,0.78541,1.26129,0.47864,0.43031,0.43858,0.22317,1.69193,1.36161,1.40058,0.00649,0.00649,0.00649
